Usuários,,,
RF-F06,Ativar campanha / promoção para a filial,"Gerente, TI","Associadas na tabela PromoFilial, e podem ser ativas através desta"
Pedidos,,,
ID Requisito,Requisito,Permissão,Descrição
RF-P01,Criar pedidos,"Gerente, Atendente, TI, Cliente","Os pedidos podem ser criados antecipadamente, e podem ser realizados no local físico ou através de aplicativo"
RF-P02,Atualizar dados do pedido,"Gerente, Atendente, TI, Cliente*",*O cliente só poderá alterar o pedido que estiver com status “Aberto”
RF-P03,Atualizar status do pedido,"Gerente, Atendente, Cozinheiro, TI, Cliente","O cliente poderá apenas atualizar o status para “Entregue”, assegurando que recebeu o pedido corretamente"
RF-P04,Consultar pedido,"Gerente, Atendente, TI, Cliente","Será interessante ter visualizações diferentes disponíveis de acordo com status (por exemplo, para o usuário que pediu no balcão, o acompanhamento poderá ser exibido no telão de senhas de pedido)"
RF-P05,Gerar movimentação de saída,Sistema,Apenas quando o pedido estiver no status “Entregue/Finalizado”
RF-P06,Cancelar Pedido,"Gerente, Atendente, TI, Cliente","Com o mapeamento atual, os pedidos com status “Em preparação” não poderão ser cancelados"
Itens de Pedido,,,
ID Requisito,Requisito,Permissão,Descrição
RF-IP01,Adicionar produto ao pedido,"Gerente, Atendente, TI, Cliente",Esta adição depende de uma verificação prévia pela API para garantir que há disponibilidade do produto no estoque. Deverá ter também consistência durante a finalização do pedido (para garantir que ninguém fechou um pedido com esse produto antes) e validação de transação de banco (para garantir que 2 requisições não irão se anular)
RF-IP02,Remover produto do pedido,"Gerente, Atendente, TI, Cliente",
RF-IP03,Alterar produtos no pedido,"Gerente, Atendente, TI, Cliente",
Produtos,,,
ID Requisito,Requisito,Permissão,Descrição
RF-PR01,Consulta de produtos,"Gerentes, Atendentes, Cozinheiros, TI, Não classificado",
RF-PR02,Cadastrar produto,"TI, CEO","Cadastrado inicialmente na Matriz (“origem” das receitas) para depois expandir. Caso hajam receitas novas (o que é raro, considerando o tradicionalismo), essas podem ser adicionadas"
RF-PR03,Atualizar produto,"TI, CEO","Apenas em caso de registros incorretos, ou mudanças relacionadas à composição dos produtos"
RF-PR04,Consultar quantidade de estoque do produto,"CEO, Gerente, Atendente, Cozinheiro, TI, Cliente","O cálculo de “quantidade de produtos” no estoque será feito dinamicamente, com base nos ingredientes disponíveis, e nos cadastros de variação de produto."
RF-PR05,Desativar produto,"Gerente, TI, CEO",Exclusão física apenas para TI
RF-PR06,Ativar produto,"Gerentes, TI, CEO","Caso esteja fora do período do produto, e o ingrediente ainda estiver em época"
Variações,,,
ID Requisito,Requisito,Permissão,Descrição
RF-V01,Criar Variação,"Gerentes, TI, CEO","Idealmente será feita uma auditoria antes da adição destes produtos, com o propósito de garantir que a variação está de acordo com os padrões da rede"
RF-V02,Leitura de Variações,"Gerentes, TI, CEO",
RF-V03,Editar Variação,"Gerentes, TI, CEO","Assim como na criação, idealmente seria feita uma auditoria"
RF-V04,Desativar Variação,"TI, CEO",Exclusão física apenas para TI
RF-V05,Alterar quantidades da receita,"TI, CEO",Apenas em caso de auditoria e/ou correção de cadastro
Ingredientes,,,
ID Requisito,Requisito,Permissão,Descrição
RF-I01,Criar ingredientes,TI,"Assim como os produtos, serão itens tradicionais da culinária nordestina, portanto com pouca frequência serão novidades"
RF-I02,Consultar Ingredientes,"Gerentes, Atendentes, TI, CEO",
RF-I03,Editar Ingredientes,TI,Apenas em caso de inconsistências por falhas
RF-I04,Desativar Ingrediente,TI,Exclusão física apenas para TI
RF-I05,Alterar período do ingrediente,Sistema,
RF-I06,Ativar ingrediente,"Gerente, TI, CEO",
Estoque,,,
ID Requisito,Requisito,Permissão,Descrição
RF-E01,Consultar dados do estoque,"Gerentes, Atendentes, Cozinheiros, TI, CEO",
RF-E02,Editar dados do estoque,"Gerente, TI, CEO","Permitido para gerente em casos emergenciais de inconsistências, mas deve passar por auditoria"
RF-E03,Desativar estoque,Sistema,Exclusão física apenas para TI
EstoqueItens,,,
ID Requisito,Requisito,Permissão,Descrição
RF-EI01,Criar itens de estoque,Sistema,Criado automaticamente com estoque 0 na criação de um novo ingrediente
RF-EI02,Editar itens de estoque,"Gerente, TI, CEO","Permitido para gerente em casos emergenciais de inconsistências, mas deve passar por auditoria"
RF-EI03,Excluir itens de estoque,Sistema,Caso o estoque ou o produto sejam excluídos
RF-EI04,Desativar itens de estoque,Sistema,Realizado automaticamente quando um ingrediente é desativado
Movimentos,,,
ID Requisito,Requisito,Permissão,Descrição
RF-M01,Criar movimento de entrada,"Gerentes, TI, CEO","Este movimento pode ser tanto de entrada (chegada de produtos) quanto de saída. Poderá ser recebido pelos funcionários, mas deve ser validado pelo gerente e/ou CEO"
RF-M02,Visualizar movimento,"Gerentes, TI, CEO",
RF-M03,Atualizar movimento,"Gerentes, TI, CEO",Pode ser utilizado para correção de saídas incorretas e/ou revalidação de entradas.
RF-M04,Excluir movimento,"TI, CEO",Apenas em caso de inconsistências
RF-M05,Confirmar movimento de entrada,"Gerentes, TI",
RF-M06,Criar movimento de saída,Sistema,Criada automaticamente quando o pedido estiver com status “Entregue”
ItensMovimento,,,
ID Requisito,Requisito,Permissão,Descrição
RF-IM01,Consultar entradas de produtos,"Gerente, TI, CEO",
RF-IM02,Consultar saídas de produtos,"Gerente, TI, CEO",
RM-IM03,Adicionar itens na entrada,"Gerente, TI, CEO","Caso venham itens a mais na entrada, pode ser criado um item, para não impedir o recebimento"
RM-IM04,Editar entradas de produtos,"Gerente, TI, CEO","Caso venham itens a menos na entrada, pode ser editado, para que não seja impedido de receber"
CampanhaProduto,,,
ID Requisito,Requisito,Permissão,Descrição
RF-CP01,Criar campanha / promoção,"CEO, TI",As promoções e fatores que afetam o financeiro devem ser avaliados junto à CEO
RF-CP02,Consultar campanha / promoção,"Gerentes, Atendentes, TI, CEO, Clientes",
RF-CP03,Editar campanha / promoção,"CEO, TI",Apenas em caso de inconsistências e/ou alterações efetivas por políticas internas
RF-CP04,Desativar campanha / promoção,"CEO, TI",Apenas em caso de inconsistências
Logs,,,
ID Requisito,Requisito,Permissão,Descrição
RF-L01,Consultar logs do sistema,"Gerentes, TI",
RF-L02,Criar log de sistema,Sistema,Gerados automaticamente após qualquer ação realizada no sistema. O tempo registrado será detectado pela biblioteca time.
RF-L03,Salvar backup e apagar logs,"Sistema, TI",Apenas para limpeza de armazenamento
Pagamento,,,
ID Requisito,Requisito,Permissão,Descrição
RF-PA01,Solicitar pagamento,Sistema,
RF-PA02,Estornar pagamento,Sistema,
RF-PA03,Cancelar pagamento,Sistema,
,,,
2.4 - Requisitos Não-Funcionais,,,
,,,
Cada cozinha de cada filial deve ter um tipo de portabilidade determinado no cadastro da filial; Esses tipos de portabilidade definirão também se as receitas são viáveis de serem adicionadas ao menu desta filial;,,,
"Devido à variedade de receitas nordestinas, e a possibilidade de combinação de elementos diferentes para criar receitas diferentes, o controle e exibição dos produtos disponíveis será feito através dos ingredientes (por exemplo, se um usuário quiser um vatapá de camarão - que pode ser uma variação criada a partir do produto vatapá - , e o estoque indicar que o ingrediente camarão está disponível, esta opção será exibida ao usuário, assim como outras receitas com camarão. No entanto, se não tiver camarão disponível, as variações que não tem camarão não serão exibidas ao usuário)",,,
"O sistema deve tolerar no mínimo em torno de 4000 usuários simultâneos sem perder disponibilidade, e sem prejudicar operações",,,
"As senhas, e outros dados particulares devem ser salvas no banco de dados codificadas.",,,
Os acessos devem ser validados através de tokens,,,
O sistema deve registrar logs de todas as ações realizadas pelos atores (clientes e usuários),,,
